Gear 0 at (1, 75) with neighbors [801, 691]
Selected gear 197 at (76, 39) with neighbors [291, 101]
Selected gear 198 at (76, 52) with neighbors [820, 733]
Selected gear 199 at (77, 100) with neighbors [797, 384]
Selected gear 200 at (79, 4) with neighbors [421, 439]
Selected gear 201 at (79, 15) with neighbors [582, 630]
Selected gear 202 at (79, 52) with neighbors [629, 484]
Selected gear 203 at (79, 67) with neighbors [565, 777]
Selected gear 204 at (79, 96) with neighbors [695, 602]
Selected gear 205 at (79, 108) with neighbors [592, 567]
Selected gear 207 at (80, 82) with neighbors [726, 185]
Selected gear 208 at (81, 113) with neighbors [3, 117]
Selected gear 209 at (82, 20) with neighbors [914, 33]
Selected gear 210 at (82, 50) with neighbors [763, 834]
Selected gear 211 at (82, 87) with neighbors [182, 494]
Selected gear 212 at (83, 92) with neighbors [459, 954]
Selected gear 213 at (84, 15) with neighbors [990, 179]
Selected gear 215 at (84, 117) with neighbors [982, 423]
Selected gear 216 at (85, 27) with neighbors [492, 131]
Selected gear 217 at (85, 44) with neighbors [176, 191]
Selected gear 218 at (85, 48) with neighbors [33, 306]
Selected gear 219 at (85, 77) with neighbors [315, 491]
Selected gear 220 at (85, 86) with neighbors [352, 509]
Selected gear 221 at (85, 130) with neighbors [763, 415]
Selected gear 222 at (86, 33) with neighbors [17, 61]
Selected gear 223 at (87, 67) with neighbors [503, 212]
Selected gear 224 at (88, 90) with neighbors [384, 669]
Selected gear 225 at (88, 123) with neighbors [447, 334]
Selected gear 226 at (89, 7) with neighbors [537, 944]
Selected gear 227 at (89, 13) with neighbors [575, 636]
Selected gear 229 at (89, 32) with neighbors [890, 743]
Selected gear 230 at (89, 62) with neighbors [120, 109]
Selected gear 231 at (89, 77) with neighbors [519, 971]
Selected gear 232 at (90, 42) with neighbors [677, 155]
Selected gear 233 at (90, 132) with neighbors [700, 910]
Selected gear 234 at (91, 17) with neighbors [848, 276]
Selected gear 236 at (91, 125) with neighbors [540, 434]
Selected gear 237 at (92, 47) with neighbors [324, 959]
Selected gear 238 at (92, 56) with neighbors [820, 520]
Selected gear 239 at (92, 115) with neighbors [621, 276]
Selected gear 240 at (93, 86) with neighbors [368, 110]
Selected gear 241 at (93, 111) with neighbors [428, 771]
Selected gear 242 at (94, 3) with neighbors [932, 947]
Selected gear 243 at (94, 84) with neighbors [196, 721]
Selected gear 244 at (95, 42) with neighbors [931, 688]
Selected gear 245 at (95, 61) with neighbors [944, 213]
Selected gear 246 at (95, 94) with neighbors [148, 194]
Selected gear 247 at (95, 104) with neighbors [426, 483]
Selected gear 250 at (96, 25) with neighbors [114, 611]
Selected gear 251 at (96, 72) with neighbors [909, 834]
Selected gear 252 at (97, 45) with neighbors [191, 121]
Selected gear 253 at (97, 124) with neighbors [605, 649]
Selected gear 255 at (98, 61) with neighbors [865, 140]
Selected gear 256 at (98, 94) with neighbors [39, 789]
Selected gear 257 at (99, 28) with neighbors [160, 532]
Selected gear 258 at (99, 54) with neighbors [338, 608]
Selected gear 259 at (99, 73) with neighbors [719, 180]
Selected gear 260 at (99, 89) with neighbors [516, 743]
Selected gear 261 at (99, 114) with neighbors [993, 669]
Selected gear 262 at (100, 12) with neighbors [643, 948]
Selected gear 263 at (100, 66) with neighbors [94, 623]
Selected gear 264 at (101, 18) with neighbors [135, 447]
Selected gear 268 at (102, 132) with neighbors [679, 228]
Selected gear 269 at (104, 16) with neighbors [659, 535]
Selected gear 270 at (104, 27) with neighbors [299, 500]
Selected gear 271 at (104, 59) with neighbors [599, 726]
Selected gear 272 at (104, 61) with neighbors [898, 381]
Selected gear 273 at (104, 83) with neighbors [859, 464]
Selected gear 276 at (105, 9) with neighbors [468, 517]
Selected gear 277 at (105, 120) with neighbors [877, 825]
Selected gear 278 at (105, 124) with neighbors [427, 393]
Selected gear 279 at (106, 104) with neighbors [43, 868]
Selected gear 280 at (106, 113) with neighbors [472, 502]
Selected gear 281 at (107, 127) with neighbors [15, 179]
Selected gear 282 at (108, 10) with neighbors [770, 538]
Selected gear 283 at (108, 34) with neighbors [417, 362]
Selected gear 284 at (109, 6) with neighbors [373, 138]
Selected gear 285 at (109, 92) with neighbors [246, 92]
Selected gear 286 at (109, 121) with neighbors [982, 994]
Selected gear 287 at (110, 114) with neighbors [278, 220]
Selected gear 288 at (111, 46) with neighbors [543, 500]
Selected gear 290 at (113, 16) with neighbors [64, 453]
Selected gear 291 at (113, 27) with neighbors [593, 638]
Selected gear 292 at (113, 52) with neighbors [603, 459]
Selected gear 293 at (113, 127) with neighbors [800, 846]
Selected gear 294 at (114, 20) with neighbors [624, 400]
Selected gear 295 at (114, 40) with neighbors [924, 268]
Selected gear 297 at (115, 92) with neighbors [186, 698]
Selected gear 298 at (116, 98) with neighbors [12, 943]
Selected gear 299 at (117, 29) with neighbors [597, 915]
Selected gear 300 at (117, 56) with neighbors [388, 440]
Selected gear 301 at (117, 62) with neighbors [871, 149]
Selected gear 302 at (117, 68) with neighbors [468, 236]
Selected gear 303 at (117, 111) with neighbors [504, 753]
Selected gear 304 at (118, 24) with neighbors [878, 459]
Selected gear 305 at (118, 42) with neighbors [875, 212]
Selected gear 306 at (118, 86) with neighbors [511, 929]
Selected gear 307 at (119, 18) with neighbors [94, 651]
Selected gear 308 at (119, 47) with neighbors [18, 964]
Selected gear 309 at (119, 52) with neighbors [40, 827]
Selected gear 310 at (119, 102) with neighbors [994, 813]
Selected gear 311 at (120, 15) with neighbors [781, 285]
Selected gear 312 at (120, 75) with neighbors [768, 377]
Selected gear 313 at (120, 79) with neighbors [827, 997]
Selected gear 314 at (120, 128) with neighbors [333, 567]
Selected gear 315 at (121, 10) with neighbors [2, 877]
Selected gear 316 at (121, 123) with neighbors [102, 153]
Selected gear 317 at (122, 46) with neighbors [304, 839]
Selected gear 318 at (122, 68) with neighbors [953, 449]
Selected gear 319 at (122, 103) with neighbors [366, 69]
Selected gear 320 at (123, 15) with neighbors [636, 255]
Selected gear 322 at (123, 93) with neighbors [17, 499]
Selected gear 323 at (124, 99) with neighbors [409, 933]
Selected gear 324 at (124, 134) with neighbors [652, 367]
Selected gear 325 at (125, 7) with neighbors [576, 807]
Selected gear 326 at (125, 55) with neighbors [469, 266]
Selected gear 327 at (125, 82) with neighbors [808, 374]
Selected gear 329 at (126, 104) with neighbors [737, 346]
Selected gear 330 at (127, 14) with neighbors [219, 175]
Selected gear 331 at (127, 28) with neighbors [41, 979]
Selected gear 332 at (127, 67) with neighbors [215, 39]
Selected gear 333 at (128, 33) with neighbors [922, 487]
Selected gear 334 at (128, 90) with neighbors [350, 750]
Selected gear 335 at (128, 131) with neighbors [662, 617]
Selected gear 336 at (129, 23) with neighbors [335, 489]
Selected gear 337 at (129, 49) with neighbors [42, 215]
Selected gear 338 at (130, 95) with neighbors [856, 708]
Selected gear 339 at (130, 118) with neighbors [253, 884]
Selected gear 340 at (131, 74) with neighbors [953, 779]
Selected gear 341 at (131, 105) with neighbors [223, 50]
Selected gear 343 at (132, 30) with neighbors [437, 643]
Selected gear 344 at (132, 84) with neighbors [714, 263]
Selected gear 345 at (132, 125) with neighbors [871, 872]
Selected gear 346 at (132, 130) with neighbors [801, 903]
Selected gear 347 at (133, 61) with neighbors [923, 708]
Selected gear 348 at (133, 90) with neighbors [340, 323]
Selected gear 349 at (133, 99) with neighbors [738, 201]
Selected gear 350 at (133, 112) with neighbors [256, 11]
Selected gear 351 at (133, 132) with neighbors [131, 377]
Selected gear 352 at (134, 5) with neighbors [50, 502]
Selected gear 354 at (135, 32) with neighbors [698, 581]
Selected gear 355 at (135, 51) with neighbors [148, 376]
Selected gear 356 at (135, 68) with neighbors [174, 119]
Selected gear 357 at (136, 13) with neighbors [883, 234]
Selected gear 358 at (136, 102) with neighbors [804, 555]
Selected gear 360 at (137, 81) with neighbors [138, 231]
Selected gear 361 at (137, 111) with neighbors [834, 817]
Selected gear 362 at (137, 124) with neighbors [4, 719]
Selected gear 363 at (138, 18) with neighbors [904, 620]
Selected gear 364 at (138, 42) with neighbors [894, 866]
Selected gear 366 at (138, 104) with neighbors [760, 310]
Selected gear 367 at (138, 134) with neighbors [932, 590]
Number of selected gears: 331
Sum of gear ratios: 86879020
